cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14
A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,A,D,T,G,C,A,A,K,E,E,K,K,BI,EB,A,U,Y,A,Q,LO,0.71225,0.620805,0.26357,0.62377,0.551723,0.9203,0.641751,0.65122,0.64296,0.79863,0.797841,0.785706,0.870644,0.29791
A,B,A,A,B,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,B,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,G,I,A,B,D,D,I,H,B,BI,AC,A,AI,BN,A,L,CR,0.254071,0.422197,0.298977,0.336414,0.482436,0.288198,0.330458,0.2926,0.24958,0.27777,0.180456,0.178698,0.30435,0.350221
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,D,B,B,D,D,D,B,C,B,D,B,D,A,A,B,H,D,B,C,B,G,C,T,F,A,A,B,O,D,E,G,G,BI,EL,A,Y,Y,A,P,KB,0.960283,0.15999,0.041833,0.54456,0.491114,0.903429,0.517419,0.45883,0.97621,0.8351,0.511698,0.576121,0.867611,0.433522
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,C,B,A,C,B,C,A,A,A,G,H,D,D,D,D,G,A,P,O,A,A,A,I,F,E,D,D,BI,BT,A,D,AO,A,I,KX,0.805726,0.555782,0.201309,0.327354,0.405415,0.680324,0.842588,0.2501,0.61751,0.7877,0.603774,0.590961,0.372852,0.693172
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,D,B,D,B,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,K,A,A,A,D,E,K,H,B,BI,CO,A,O,X,R,M,CR,0.284869,0.785784,0.54977,0.886774,0.422268,0.219274,0.31005,0.64027,0.31763,0.26029,0.24541,0.241676,0.363547,0.481998
A,B,A,B,B,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,D,C,B,D,B,D,B,A,A,A,A,A,D,D,C,E,G,D,T,H,O,A,B,K,E,E,K,E,BI,EB,C,E,AO,A,Q,LO,0.734295,0.620805,0.26357,0.309621,0.281143,0.927647,0.900979,0.28768,0.64296,0.79863,0.797841,0.785706,0.886284,0.804596
A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,A,B,D,B,D,A,A,G,H,D,B,C,E,A,C,T,J,C,A,A,K,F,F,H,G,BI,EG,A,AH,AD,A,O,LM,0.894333,0.15999,0.230975,0.696873,0.281143,0.767863,0.513006,0.74629,0.93383,0.7877,0.757468,0.74464,0.81255,0.237601
A,B,A,A,B,A,A,B,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,D,B,B,B,B,B,B,C,B,B,D,A,A,A,B,H,D,B,D,E,A,A,P,F,J,B,F,H,F,G,E,B,AB,CL,A,Y,BC,A,I,HX,0.606064,0.488789,0.215772,0.775744,0.281143,0.433999,0.433068,0.46477,0.46853,0.56627,0.453334,0.443374,0.282249,0.433976
A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,L,J,A,A,E,F,H,G,B,BI,BT,A,E,A,A,L,DJ,0.393339,0.488789,0.819748,0.259793,0.281143,0.371851,0.554592,0.31796,0.35897,0.32935,0.472726,0.462286,0.321548,0.810995
A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,B,B,B,C,B,D,B,D,A,A,B,H,D,B,C,E,A,C,T,F,C,A,F,I,E,G,J,G,BU,DW,A,J,S,A,O,LB,0.7263,0.422197,0.174588,0.789639,0.310061,0.728484,0.41475,0.3026,0.67135,0.8351,0.569745,0.576121,0.833874,0.37887
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,A,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,K,A,A,A,J,G,E,J,E,BI,AC,A,U,H,C,N,LF,0.503312,0.555782,0.61366,0.364302,0.348388,0.818231,0.881302,0.53046,0.573,0.6852,0.895938,0.887214,0.706822,0.294853
A,B,A,A,B,A,A,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,A,D,C,B,D,B,A,A,A,A,A,D,B,C,E,C,D,T,J,J,B,D,G,F,I,L,K,BI,EL,A,J,BM,A,R,HJ,0.330514,0.100099,0.26357,0.432728,0.602545,0.422481,0.430597,0.48864,0.36285,0.20496,0.388786,0.40609,0.678452,0.387524
A,B,B,B,B,A,A,B,B,B,A,B,A,A,A,A,A,A,B,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,B,B,B,C,B,B,B,A,A,B,B,H,D,D,D,E,D,A,P,F,J,B,B,C,E,M,I,B,BI,DW,E,AS,BM,A,M,BY,0.222528,0.681761,0.57136,0.373816,0.899152,0.16003,0.238818,0.76398,0.27393,0.20496,0.160614,0.159414,0.327393,0.729232
A,B,B,B,A,A,A,A,B,B,A,B,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,D,D,B,D,C,B,B,B,A,A,B,A,A,D,C,E,E,E,A,S,L,I,A,A,D,E,I,J,I,AB,CS,C,AS,L,A,N,DC,0.299256,0.620805,0.506105,0.844287,0.388783,0.344288,0.376887,0.95332,0.33051,0.3148,0.272329,0.267742,0.48667,0.721935
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,B,B,B,B,A,B,B,B,A,A,A,G,H,D,B,D,E,C,A,P,N,A,A,D,D,D,H,E,B,BQ,U,A,E,BM,A,J,DC,0.465671,0.199504,0.336963,0.483397,0.689594,0.303881,0.356898,0.36083,0.36091,0.36458,0.225753,0.222634,0.26115,0.823361
B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,A,B,C,B,B,B,A,A,A,A,A,C,D,D,E,C,A,P,I,C,A,A,E,E,H,F,B,BI,CS,A,J,BM,A,K,DP,0.475784,0.785784,0.592681,0.614134,0.78323,0.3735,0.381883,0.36083,0.44352,0.45017,0.338312,0.366307,0.339244,0.38346
A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,C,D,C,C,B,A,B,D,B,D,A,A,G,H,C,B,C,E,E,C,T,F,C,A,A,H,D,G,G,G,BU,BC,A,AB,S,A,O,IC,0.802988,0.199504,0.120071,0.642745,0.594196,0.623854,0.406747,0.67263,0.83037,0.44467,0.359572,0.352251,0.611431,0.591659
B,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,E,A,P,I,D,A,A,D,E,K,H,B,AB,C,E,AU,BM,A,M,CK,0.325401,0.422197,0.592681,0.473202,0.758711,0.201125,0.262345,0.24564,0.30859,0.21983,0.199654,0.214808,0.351299,0.20375
B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,B,B,D,C,B,D,B,A,A,A,A,A,D,C,C,E,E,D,T,K,A,A,A,G,E,H,J,K,BI,CL,E,E,L,A,O,HJ,0.470002,0.555782,0.230975,0.652072,0.388783,0.527375,0.443029,0.93875,0.5105,0.43373,0.396226,0.387819,0.633362,0.801477
A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,B,H,D,D,C,E,C,D,T,F,A,A,A,G,E,F,J,K,BI,CO,C,N,AJ,C,O,HV,0.438385,0.555782,0.280933,0.364302,0.348388,0.715742,0.598539,0.34987,0.44767,0.53881,0.4922,0.481306,0.654753,0.598769
A,B,A,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,B,B,C,B,B,C,A,A,A,B,H,C,D,D,E,E,A,P,F,G,A,B,D,E,J,G,B,BI,EG,C,E,AE,A,K,CK,0.305371,0.620805,0.711159,0.412789,0.302678,0.220282,0.314608,0.27797,0.38249,0.31003,0.24541,0.241676,0.298734,0.811616
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,C,D,D,E,C,A,P,B,A,A,B,E,F,H,F,B,BI,CS,A,AF,AE,A,K,DJ,0.54667,0.785784,0.634224,0.373816,0.310061,0.360931,0.413194,0.26847,0.46226,0.50556,0.366788,0.359249,0.345247,0.214803
A,B,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,C,A,P,L,G,A,A,D,E,H,F,B,AB,C,A,J,K,A,K,DC,0.493164,0.358319,0.462347,0.83324,0.281143,0.331398,0.361715,0.566,0.39648,0.32935,0.24541,0.255941,0.295948,0.38026
B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,A,A,A,A,G,H,F,F,D,BI,CL,C,AK,A,C,J,HK,0.566704,0.737068,0.745801,0.229617,0.281143,0.505351,0.721245,0.33906,0.44352,0.57716,0.742852,0.729856,0.318646,0.462731
B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,D,E,E,E,A,S,A,A,A,A,E,E,J,K,I,AB,CO,C,J,N,F,O,DJ,0.21854,0.620805,0.397983,0.52423,0.281143,0.322085,0.308469,0.34987,0.31945,0.22755,0.275431,0.270746,0.503333,0.389944
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,B,B,B,C,B,D,B,D,A,A,A,A,D,D,C,E,A,C,T,B,A,A,A,G,F,F,I,G,BI,CO,M,AH,AE,A,N,HK,0.715803,0.488789,0.61366,0.327354,0.826714,0.719318,0.547511,0.38318,0.69854,0.76052,0.661688,0.648446,0.728429,0.233455
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,C,C,E,C,D,T,K,A,A,A,E,D,I,J,K,BI,U,A,J,BM,J,O,DJ,0.40726,0.199504,0.440642,0.534409,0.281143,0.436312,0.44376,0.6984,0.39447,0.43919,0.291268,0.286079,0.605077,0.38346
